specObjID,ra,dec,z,class,x,y,z_cart
2912714948176013312,153.61906,15.902928,0.01016395,GALAXY,-38.70879474183131,19.199165294280125,12.310666368984705
725168911783323648,327.16586,-6.8365481,0.01016477,GALAXY,37.48512661060693,-24.18914002577955,-5.348548156766941
4508304526898649088,198.89888,0.49220969,0.01016492,GALAXY,-42.50854957143096,-14.553001173758345,0.38599463580995014
11530495289334192128,135.06223,35.719472,0.01016519,GALAXY,-25.823873323871638,25.767838594570183,26.23296933988594
6021483501270095872,159.46912,13.721,0.01016621,GALAXY,-40.8827435687943,15.310550745167886,10.659041884683617
1450184689477249024,218.43929,44.082207,0.01016674,GALAXY,-25.28588444488296,-20.06959263668989,31.264555349042716
1467190291420178432,143.51132,9.4792046,0.01016935,GALAXY,-35.646681406226854,26.366259317636043,7.403108274730541
525875827615754240,130.48618,-0.060011778,0.01016996,GALAXY,-29.18739575790384,34.1907457423673,-0.047085548308608005
9186263637932922880,173.31423,50.304632,0.01017167,GALAXY,-28.52226169289144,3.3434143422980838,34.596149874922624
326532995781519360,189.97961,-0.13871907,0.01017225,GALAXY,-44.28420029561603,-7.792250832175899,-0.10886405538299618
1623712368703858688,174.09927,47.158079,0.01017745,GALAXY,-30.428492199789357,3.1448706101720454,32.986372107279
2576139313263699968,138.34249,19.369377,0.01017967,GALAXY,-31.7161267657066,28.215874632482816,14.923697156279502
1067508183561431040,161.36402,58.59317,0.0101802,GALAXY,-22.22034396679743,7.493509268588716,38.40675703913364
2904894121195890688,143.64224,13.005742,0.01018223,GALAXY,-35.317063773871276,25.9978177360977,10.129144524080145
876042837295130624,178.88072,63.440334,0.0101826,GALAXY,-20.1215983988792,0.3931278743854833,40.26033647720943
1022468338074281984,167.89933,56.526918,0.01018363,GALAXY,-24.276070929760067,5.2046355859158835,37.54891491116329
1538026328257751040,172.77791,44.184082,0.0101859,GALAXY,-32.031361154177866,4.059049118269458,31.380793370827455
673338210927011840,177.65885,64.350386,0.01018803,GALAXY,-19.477549264328943,0.7963109970387787,40.59649042270651
4511700093783791616,198.03591,2.9890931,0.01019098,GALAXY,-42.77548394727127,-13.928243076692336,2.349028044802264
8250755708456556544,122.69045,46.915307,0.01019367,GALAXY,-16.62370050251557,25.903570832106023,32.90869749450321
9840623144880330752,1.1141288,5.8495232,0.01019431,GALAXY,44.818834782571436,0.8716217774884912,4.592541435553756
1088842560920643584,173.42336,49.599234,0.01019601,GALAXY,-29.01864166090145,3.345582413879263,34.3217175987822
1931046778883303424,224.19989,9.5091042,0.01019751,GALAXY,-31.871528453040412,-30.993588076773356,7.446759736702155
7314004781034657792,204.22625,32.095556,0.01019777,GALAXY,-34.82463616912239,-15.66999338349834,23.95100090669755
2020004971050723328,195.84205,7.6161079,0.01019849,GALAXY,-42.985552999225106,-12.197766187315406,5.974730490339118
1480649683788392448,182.63681,58.304138,0.01020018,GALAXY,-23.66452513784267,-1.0898350040768605,38.3629398128385
398718130668464128,261.82637,61.17768,0.01020233,GALAXY,-3.091018443206628,-21.52033771623597,39.510610528145634
1475036406110775296,171.91678,57.242506,0.01020325,GALAXY,-24.161197880684163,3.4314286475489673,37.928820421059214
6503254312726321152,136.01793,22.061255,0.01020828,GALAXY,-30.091687506766558,29.04101181972633,16.948298967502673
2823809533053265920,175.50711,16.67568,0.01021267,GALAXY,-43.11150934111383,3.3875664521918734,12.953935446606057
398684045808003072,260.89922,61.823703,0.01021303,GALAXY,-3.3716796717164668,-21.048264704547112,39.7948231147643
886099483404822528,210.52379,59.280131,0.01021327,GALAXY,-19.86620541292858,-11.713202828422355,38.810513210703334
1469418446818142208,146.08095,9.9847886,0.01021397,GALAXY,-36.898093135123446,24.812301262874836,7.82817479721308
1363612721228048384,135.12241,35.811278,0.01021408,GALAXY,-25.944995235136968,25.834370650297444,26.417535979582937
3087227511185106944,208.27263,15.844551,0.0102141,GALAXY,-38.252323132307744,-20.573189199620934,12.327015727755752
